               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12871,           0.0063545,                   0,           0.0012319,             0.26562,            0.001228,          0.00023371,             0.12997,           0.0052958,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.12716,           0.0089918,                   0,           0.0012319,             0.26562,           0.0011436,          0.00014622,             0.12819,           0.0055119,                   0,            0.095499,          0.00049876,          0.00049876
                   2,              0.1246,            0.006806,                   0,           0.0014493,              0.3125,           0.0018558,          0.00034041,             0.12519,           0.0058451,                   0,            0.092796,          0.00079604,          0.00079604
                   3,             0.12278,           0.0089819,                   0,           0.0014493,              0.3125,           0.0018386,          0.00037605,             0.12071,           0.0063794,                   0,            0.090092,           0.0010918,           0.0010918
                   4,             0.12183,           0.0090601,                   0,           0.0019565,             0.42188,           0.0020722,          0.00045234,             0.11681,           0.0069307,                   0,            0.087386,           0.0013861,           0.0013861
                   5,             0.11658,           0.0076745,                   0,           0.0014493,              0.3125,           0.0016214,          0.00043582,              0.1154,           0.0071952,                   0,            0.084679,            0.001679,            0.001679
                   6,              0.1191,           0.0084169,                   0,           0.0021739,             0.46875,           0.0019922,          0.00048233,             0.11234,           0.0074704,                   0,             0.08197,           0.0019703,           0.0019703
                   7,             0.11696,            0.011497,                   0,           0.0014493,              0.3125,           0.0044092,           0.0012506,             0.11119,           0.0075412,                   0,             0.07926,           0.0022602,           0.0022602
                   8,             0.11121,             0.01011,                   0,           0.0068103,             0.40625,            0.028988,           0.0037418,             0.10922,           0.0077736,                   0,            0.076549,           0.0025485,           0.0025485
                   9,             0.11552,           0.0095221,                   0,           0.0027536,             0.59375,           0.0062738,           0.0011889,             0.10848,           0.0078861,                   0,            0.073835,           0.0028354,           0.0028354
                  10,              0.1168,            0.010759,                   0,           0.0036232,             0.78125,            0.021578,           0.0024715,             0.10702,           0.0081465,                   0,            0.071121,           0.0031208,           0.0031208
                  11,             0.11351,            0.012352,                   0,           0.0030435,             0.65625,           0.0029423,          0.00069517,             0.10623,           0.0084083,                   0,            0.068405,           0.0034047,           0.0034047
